id,jp,kana,romam,disp,color
1,北海道,ほっかいどう,hokkaido,1,"255,215,0"
2,青森県,あおもり,aomori,0,"255,182,193"
3,岩手県,いわて,iwate,0,"255,140,0"
4,宮城県,みやぎ,miyagi,0,"255,99,71"
5,秋田県,あきた,akita,0,"255,0,255"
6,山形県,やまがた,yamagata,0,"255,0,0"
7,福島県,ふくしま,fukushima,0,"250,235,215"
8,茨城県,いばらき,ibaraki,0,"245,245,220"
9,栃木県,とちぎ,tochigi,0,"240,255,255"
10,群馬県,ぐんま,gumma,0,"238,130,238"
11,埼玉県,さいたま,saitama,0,"221,160,221"
12,千葉県,ちば,chiba,0,"199,21,133"
13,東京都,とうきょう,tokyo,1,"175,238,238"
14,神奈川県,かながわ,kanagawa,0,"173,255,47"
15,新潟県,にいがた,niigata,0,"169,169,16"
16,富山県,とやま,toyama,0,"165,42,42"
17,石川県,いしかわ,ishikawa,0,"153,50,204"
18,福井県,ふくい,fukui,1,"144,238,144"
19,山梨県,やま,yamanashi,0,"138,43,226"
20,長野県,ながの,nagano,0,"128,128,0"
21,岐阜県,ぎふ,gifu,0,"128,0,0"
22,静岡県,しずおか,shizuoka,0,"123,104,238"
23,愛知県,あいち,aichi,0,"107,142,35"
24,三重県,みえ,mie,0,"102,205,170"
25,滋賀県,しが,shiga,0,"72,209,204"
26,京都府,きょうと,kyoto,0,"30,144,255"
27,大阪府,おおさか,osaka,1,"0,255,255"
28,兵庫県,ひょうご,hyogo,1,"0,255,127"
29,奈良県,なら,nara,0,"0,128,128"
30,和歌山県,わかやま,wakayama,0,"0,128,0"
31,鳥取県,とっとり,tottori,0,"0,0,128"
32,島根県,しまね,shimane,0,"255,255,0"
33,岡山県,おかやま,okayama,1,"255,0,255"
34,広島県,ひろしま,hiroshima,0,"192,192,192"
35,山口県,やまぐち,yamaguchi,0,"0,255,255"
36,徳島県,とくしま,tokushima,0,"0,255,0"
37,香川県,かがわ,kagawa,0,"255,0,0"
38,愛媛県,えひめ,ehime,0,"128,128,128"
39,高知県,こうち,kochi,0,"0,0,255"
40,福岡県,ふくおか,fukuoka,1,"0,128,0"
41,佐賀県,さが,saga,0,"128,0,128"
42,長崎県,ながさき,nagasaki,0,"0,0,128"
43,熊本県,くまもと,kumamoto,0,"0,128,128"
44,大分県,おおいた,oita,1,"128,0,0"
45,宮崎県,みやざき,miyazaki,0,"255,245,238"
46,鹿児島県,かごしま,kagoshima,0,"230,230,250"
47,沖縄県,おきなわ,okinawa,0,"210,180,140"
